subject_id,passage_name,quantity,recomputed,dataset_metrics,rel_diff,strict,pass
1003,syllables,fix_count,136.0,136.0,0.0,True,True
1003,syllables,mean_fix_dur,497.66447794117397,497.664477941174,1.1422036609076033e-16,True,True
1003,syllables,total_fix_dur,67682.36899999966,67682.36899999966,0.0,True,True
1003,syllables,sacc_count,135.0,135.0,0.0,True,True
1003,syllables,mean_sacc_ampl,139.05013357403993,139.05013357403993,0.0,True,True
1003,syllables,mean_sacc_dur,43.223318518521005,43.223318518521005,0.0,True,True
1003,syllables,regression_count,28.0,19.0,0.47368421052631576,False,
1003,meaningful,fix_count,141.0,141.0,0.0,True,True
1003,meaningful,mean_fix_dur,404.33378723403524,404.3337872340352,1.4058537934626296e-16,True,True
1003,meaningful,total_fix_dur,57011.063999998965,57011.063999998965,0.0,True,True
1003,meaningful,sacc_count,140.0,140.0,0.0,True,True
1003,meaningful,mean_sacc_ampl,102.83468074095472,102.83468074095472,0.0,True,True
1003,meaningful,mean_sacc_dur,34.76767857143007,34.76767857143007,0.0,True,True
1003,meaningful,regression_count,23.0,12.0,0.9166666666666666,False,
1003,pseudo,fix_count,216.0,216.0,0.0,True,True
1003,pseudo,mean_fix_dur,546.5443518518538,546.5443518518538,0.0,True,True
1003,pseudo,total_fix_dur,118053.58000000042,118053.58000000042,0.0,True,True
1003,pseudo,sacc_count,215.0,215.0,0.0,True,True
1003,pseudo,mean_sacc_ampl,71.78616246644599,71.78616246644599,0.0,True,True
1003,pseudo,mean_sacc_dur,40.164739534883154,40.164739534883154,0.0,True,True
1003,pseudo,regression_count,42.0,20.0,1.1,False,
1009,syllables,fix_count,192.0,192.0,0.0,True,True
1009,syllables,mean_fix_dur,524.8274947916658,524.8274947916658,0.0,True,True
1009,syllables,total_fix_dur,100766.87899999984,100766.87899999984,0.0,True,True
1009,syllables,sacc_count,191.0,191.0,0.0,True,True
1009,syllables,mean_sacc_ampl,135.16413532187087,135.16413532187087,0.0,True,True
1009,syllables,mean_sacc_dur,39.955408376964,39.955408376964,0.0,True,True
1009,syllables,regression_count,43.0,30.0,0.43333333333333335,False,
1009,meaningful,fix_count,221.0,221.0,0.0,True,True
1009,meaningful,mean_fix_dur,492.9880226244376,492.9880226244376,0.0,True,True
1009,meaningful,total_fix_dur,108950.3530000007,108950.3530000007,0.0,True,True
1009,meaningful,sacc_count,220.0,220.0,0.0,True,True
1009,meaningful,mean_sacc_ampl,74.39844968163602,74.39844968163602,0.0,True,True
1009,meaningful,mean_sacc_dur,31.833281818177255,31.83328181817725,1.1160375166759752e-16,True,True
1009,meaningful,regression_count,37.0,11.0,2.3636363636363638,False,
1009,pseudo,fix_count,238.0,238.0,0.0,True,True
